epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.627,3.48239,9.3379,2.6421,0.00065,0.02614,0.00034,6e-05,2.99871,9.19741,2.34531,0.000325926,0.000325926,0.000325926
2,333.864,3.16675,8.33286,2.15115,0.00807,0.23373,0.00838,0.00193,3.19687,8.38951,2.21842,0.000646206,0.000646206,0.000646206
3,520.391,2.99967,7.74372,2.06609,0.01019,0.26861,0.00899,0.00293,2.83258,9.26064,2.35143,0.000953286,0.000953286,0.000953286
4,694.032,2.94322,7.38041,2.03769,0.01422,0.38268,0.01303,0.00362,2.99576,7.53793,2.36381,0.0009406,0.0009406,0.0009406
5,897.047,2.88307,7.27234,2.02722,0.01396,0.42342,0.01865,0.00504,3.0898,6.82519,2.39035,0.0009208,0.0009208,0.0009208
6,1072.4,2.87821,7.09909,2.00511,0.01192,0.37158,0.01224,0.00343,2.85256,7.03983,2.15349,0.000901,0.000901,0.000901
7,1246.54,2.80363,6.97657,2.00646,0.01014,0.31317,0.00881,0.00296,2.94362,7.48408,2.22774,0.0008812,0.0008812,0.0008812
8,1439.27,2.78955,6.79538,1.9476,0.00765,0.26239,0.00599,0.00197,2.91427,7.3317,2.16282,0.0008614,0.0008614,0.0008614
9,1618.7,2.75312,6.86549,1.97095,0.01548,0.42267,0.01955,0.00678,2.58472,6.5594,2.02128,0.0008416,0.0008416,0.0008416
10,1804.41,2.75713,6.81246,1.97894,0.01503,0.4359,0.01686,0.00537,2.74412,6.55755,2.05556,0.0008218,0.0008218,0.0008218
11,1976.44,2.67834,6.68864,1.92817,0.01485,0.47603,0.02421,0.00743,2.75025,6.43228,1.98679,0.000802,0.000802,0.000802
12,2144.75,2.682,6.55909,1.91832,0.02024,0.55182,0.03843,0.01267,2.62321,6.15022,1.98147,0.0007822,0.0007822,0.0007822
13,2313.96,2.63358,6.48294,1.91657,0.03692,0.15014,0.03113,0.00766,2.87976,6.25533,2.06638,0.0007624,0.0007624,0.0007624
14,2471.43,2.66375,6.42706,1.92451,0.04702,0.26696,0.03972,0.01232,2.5859,6.03642,1.94221,0.0007426,0.0007426,0.0007426
15,2637.01,2.62039,6.38726,1.91411,0.05288,0.25929,0.03766,0.01138,2.50065,6.12126,1.90959,0.0007228,0.0007228,0.0007228
16,2832.8,2.61847,6.31422,1.88825,0.31993,0.12306,0.03821,0.01073,2.6698,6.39706,1.97333,0.000703,0.000703,0.000703
17,3017.41,2.67446,6.33932,1.90914,0.37971,0.13754,0.06544,0.02041,2.6084,5.7178,1.91554,0.0006832,0.0006832,0.0006832
18,3192.69,2.58822,6.23062,1.89267,0.08282,0.30557,0.07721,0.02642,2.40248,5.64338,1.87497,0.0006634,0.0006634,0.0006634
19,3365.07,2.57334,6.1926,1.87486,0.11921,0.14504,0.07329,0.0248,2.38379,5.48901,1.81405,0.0006436,0.0006436,0.0006436
20,3517.53,2.4929,6.11958,1.84251,0.36755,0.19497,0.09274,0.03006,2.42644,5.49658,1.87544,0.0006238,0.0006238,0.0006238
21,3678.45,2.52525,5.93078,1.83185,0.13446,0.15792,0.08204,0.02572,2.45591,5.56667,1.882,0.000604,0.000604,0.000604
22,3835.98,2.47315,5.95776,1.83214,0.36643,0.19438,0.09648,0.03297,2.40375,5.27819,1.88996,0.0005842,0.0005842,0.0005842
23,3993.02,2.47725,5.89879,1.82182,0.37126,0.26482,0.10816,0.03573,2.31553,5.44554,1.84785,0.0005644,0.0005644,0.0005644
24,4154.18,2.49607,5.82346,1.83719,0.16082,0.24087,0.10801,0.0405,2.30919,5.20886,1.82679,0.0005446,0.0005446,0.0005446
25,4314.3,2.43567,5.71098,1.8209,0.36444,0.24423,0.10582,0.03156,2.4391,5.33893,1.88853,0.0005248,0.0005248,0.0005248
26,4471.34,2.38482,5.61561,1.78987,0.41855,0.31352,0.17396,0.06878,2.19791,4.88734,1.7481,0.000505,0.000505,0.000505
27,4655.52,2.42657,5.57392,1.80723,0.16073,0.23805,0.13251,0.04147,2.40923,5.18279,1.88707,0.0004852,0.0004852,0.0004852
28,4799.56,2.39509,5.54319,1.77461,0.22999,0.27816,0.18518,0.07051,2.16162,4.79627,1.76171,0.0004654,0.0004654,0.0004654
29,4972.23,2.31996,5.29877,1.74609,0.25845,0.27518,0.21015,0.07885,2.15995,4.80151,1.74833,0.0004456,0.0004456,0.0004456
30,5133.61,2.39439,5.31947,1.78684,0.3025,0.31011,0.24427,0.09235,2.14738,4.73945,1.78762,0.0004258,0.0004258,0.0004258
31,5285.72,2.34625,5.23832,1.75522,0.28101,0.31614,0.25397,0.1013,2.10917,4.52176,1.7174,0.000406,0.000406,0.000406
32,5461.85,2.26158,5.09773,1.73262,0.31321,0.34262,0.33242,0.14579,1.98829,4.21278,1.67089,0.0003862,0.0003862,0.0003862
33,5612.64,2.31525,5.01726,1.71123,0.61118,0.33468,0.35295,0.15831,1.92824,4.10542,1.65635,0.0003664,0.0003664,0.0003664
34,5771.65,2.25654,5.0104,1.73057,0.64902,0.35362,0.44175,0.20582,1.92729,3.87592,1.65194,0.0003466,0.0003466,0.0003466
35,5923.2,2.21732,4.95603,1.74066,0.63315,0.39291,0.46583,0.21926,1.89001,3.88862,1.63973,0.0003268,0.0003268,0.0003268
36,6079.37,2.22791,4.89737,1.72798,0.62257,0.39272,0.48861,0.24604,1.78385,3.7495,1.5973,0.000307,0.000307,0.000307
37,6234.8,2.18429,4.66234,1.68299,0.57939,0.34902,0.44422,0.20445,1.93361,3.75582,1.64535,0.0002872,0.0002872,0.0002872
