epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.933,3.14488,10.3373,2.5103,0.01315,0.19178,0.00937,0.00285,2.6773,8.4597,2.02895,0.000329588,0.000329588,0.000329588
2,635.4,2.6402,7.4261,1.9985,0.01216,0.42127,0.01539,0.0054,2.53869,7.76522,1.90983,0.000656358,0.000656358,0.000656358
3,919.317,2.57321,6.94011,1.95929,0.01415,0.45621,0.02771,0.00844,2.589,7.10096,1.96211,0.000976529,0.000976529,0.000976529
4,1211.43,2.55367,6.83623,1.93825,0.01563,0.44199,0.01937,0.00689,2.52764,6.64582,1.99855,0.0009703,0.0009703,0.0009703
5,1501.65,2.55539,6.76101,1.92496,0.0188,0.55846,0.03972,0.01778,2.42376,6.76396,1.91897,0.0009604,0.0009604,0.0009604
6,1795.53,2.529,6.58468,1.89945,0.01574,0.49913,0.0284,0.01017,2.45592,6.45181,1.90412,0.0009505,0.0009505,0.0009505
7,2116.47,2.47555,6.38958,1.89022,0.31884,0.18897,0.04957,0.01578,2.45885,5.98846,1.86576,0.0009406,0.0009406,0.0009406
8,2456.56,2.47542,6.25955,1.84734,0.07344,0.21006,0.05177,0.01816,2.3723,5.79523,1.76468,0.0009307,0.0009307,0.0009307
9,2797.14,2.41972,6.26777,1.85316,0.3624,0.1439,0.07507,0.02673,2.35453,5.58441,1.78994,0.0009208,0.0009208,0.0009208
10,3120.32,2.48909,6.27,1.89869,0.30685,0.23664,0.05817,0.02175,2.34593,5.74124,1.78977,0.0009109,0.0009109,0.0009109
11,3454.42,2.39509,6.17516,1.84422,0.35913,0.15876,0.07402,0.02666,2.36382,5.5266,1.78532,0.000901,0.000901,0.000901
12,3785.19,2.37001,6.06037,1.82333,0.35039,0.22855,0.08527,0.0329,2.19641,5.27832,1.69854,0.0008911,0.0008911,0.0008911
13,4118.7,2.29887,5.77093,1.78898,0.4333,0.23256,0.15886,0.06137,2.1414,4.83462,1.66867,0.0008812,0.0008812,0.0008812
14,4447.91,2.3141,5.70869,1.79635,0.35141,0.28417,0.21436,0.07935,2.16269,4.81429,1.69389,0.0008713,0.0008713,0.0008713
15,4768.7,2.24469,5.58712,1.75114,0.22355,0.23964,0.17608,0.07203,2.06682,4.66648,1.6106,0.0008614,0.0008614,0.0008614
16,5088.81,2.20833,5.47389,1.72574,0.33618,0.27403,0.2379,0.10057,2.02514,4.62112,1.60576,0.0008515,0.0008515,0.0008515
17,5409.97,2.20609,5.36349,1.71009,0.4563,0.31231,0.31584,0.12276,1.99134,4.47733,1.58192,0.0008416,0.0008416,0.0008416
18,5727.15,2.1703,5.194,1.72893,0.34264,0.32242,0.29153,0.12141,1.98394,4.26865,1.57096,0.0008317,0.0008317,0.0008317
19,6046.19,2.13163,5.00847,1.6739,0.40388,0.32359,0.35021,0.1571,1.81857,4.10823,1.48097,0.0008218,0.0008218,0.0008218
