Model_Name,Model_Type,Confidence_Threshold,Detections_Count,Inference_Time_Seconds,Unique_Classes,Avg_Detection_Confidence
yolov9s,detection,0.1,17,0.4105,6,0.3534
yolov9s,detection,0.25,11,0.1858,5,0.4522
yolov9s,detection,0.4,6,0.2073,5,0.5524
yolov9s,detection,0.6,3,0.1727,3,0.6734
yolov8m-seg,segmentation,0.1,14,0.8144,6,0.3018
yolov8m-seg,segmentation,0.25,6,0.3471,3,0.4974
yolov8m-seg,segmentation,0.4,3,0.3496,3,0.6974
yolov8m-seg,segmentation,0.6,3,0.3121,3,0.6974
yolov8n-seg,segmentation,0.1,13,3.7405,6,0.3273
yolov8n-seg,segmentation,0.25,7,0.1322,4,0.4472
yolov8n-seg,segmentation,0.4,5,0.087,4,0.5222
yolov8n-seg,segmentation,0.6,0,0.079,0,0.0
yolov8n,detection,0.1,13,0.1509,6,0.3074
yolov8n,detection,0.25,6,0.0624,5,0.4693
yolov8n,detection,0.4,3,0.06,2,0.6041
yolov8n,detection,0.6,2,0.0926,2,0.6826
yolov10n,detection,0.1,12,0.1742,5,0.3147
yolov10n,detection,0.25,8,0.0764,4,0.3877
yolov10n,detection,0.4,2,0.0939,2,0.5939
yolov10n,detection,0.6,1,0.1246,1,0.7033
yolov8s,detection,0.1,11,0.2964,5,0.3153
yolov8s,detection,0.25,6,0.1569,4,0.4526
yolov8s,detection,0.4,3,0.1801,2,0.5706
yolov8s,detection,0.6,1,0.1181,1,0.7825
yolov8s-seg,segmentation,0.1,9,0.486,6,0.3119
yolov8s-seg,segmentation,0.25,4,0.1578,3,0.5231
yolov8s-seg,segmentation,0.4,3,0.1637,3,0.5722
yolov8s-seg,segmentation,0.6,1,0.1653,1,0.6942
yolov8n-oiv7,detection,0.1,3,0.1847,1,0.2937
yolov8n-oiv7,detection,0.25,1,0.1402,1,0.4406
yolov8n-oiv7,detection,0.4,1,0.0857,1,0.4406
yolov8n-oiv7,detection,0.6,0,0.0794,0,0.0
