Model_Name,Model_Type,Confidence_Threshold,Detections_Count,Inference_Time_Seconds,Unique_Classes,Avg_Detection_Confidence
yolov9s,detection,0.1,17,0.3016,6,0.3534
yolov9s,detection,0.25,11,0.2515,5,0.4522
yolov9s,detection,0.4,6,0.1419,5,0.5524
yolov9s,detection,0.6,3,0.1419,3,0.6734
yolov8m-seg,segmentation,0.1,14,0.7709,6,0.3018
yolov8m-seg,segmentation,0.25,6,0.3481,3,0.4974
yolov8m-seg,segmentation,0.4,3,0.3597,3,0.6974
yolov8m-seg,segmentation,0.6,3,0.3202,3,0.6974
yolov8n-seg,segmentation,0.1,13,3.3927,6,0.3273
yolov8n-seg,segmentation,0.25,7,0.0936,4,0.4472
yolov8n-seg,segmentation,0.4,5,0.1009,4,0.5222
yolov8n-seg,segmentation,0.6,0,0.0897,0,0.0
yolov8n,detection,0.1,13,0.1435,6,0.3074
yolov8n,detection,0.25,6,0.0813,5,0.4693
yolov8n,detection,0.4,3,0.0992,2,0.6041
yolov8n,detection,0.6,2,0.0722,2,0.6826
yolov10n,detection,0.1,12,0.1709,5,0.3147
yolov10n,detection,0.25,8,0.1188,4,0.3877
yolov10n,detection,0.4,2,0.0938,2,0.5939
yolov10n,detection,0.6,1,0.0922,1,0.7033
yolov8s,detection,0.1,11,0.245,5,0.3153
yolov8s,detection,0.25,6,0.1135,4,0.4526
yolov8s,detection,0.4,3,0.1121,2,0.5706
yolov8s,detection,0.6,1,0.1172,1,0.7825
yolov8s-seg,segmentation,0.1,9,0.4484,6,0.3119
yolov8s-seg,segmentation,0.25,4,0.1892,3,0.5231
yolov8s-seg,segmentation,0.4,3,0.1774,3,0.5722
yolov8s-seg,segmentation,0.6,1,0.2024,1,0.6942
yolov8n-oiv7,detection,0.1,3,0.1374,1,0.2937
yolov8n-oiv7,detection,0.25,1,0.0817,1,0.4406
yolov8n-oiv7,detection,0.4,1,0.0746,1,0.4406
yolov8n-oiv7,detection,0.6,0,0.0772,0,0.0
