Model,Model_Type,Model_Size,Image_Name,Processing_Time_Seconds,Total_Detections_In_Image,Detected_Object,Confidence
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,dining table,0.584
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,cup,0.582
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,cup,0.551
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,bowl,0.484
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,cake,0.41
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,cup,0.269
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,cup,0.25
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,bowl,0.25
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,donut,0.219
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,cup,0.213
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,cake,0.172
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,cup,0.161
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.634,13,sandwich,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.189,3,bowl,0.749
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.189,3,dining table,0.53
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.189,3,bowl,0.13
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.186,4,bottle,0.131
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.186,4,bottle,0.123
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.186,4,cup,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.186,4,cup,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.158,3,sandwich,0.641
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.158,3,dining table,0.419
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.158,3,dining table,0.122
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,bowl,0.835
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,bowl,0.822
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,person,0.78
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,person,0.723
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,bowl,0.406
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,dining table,0.379
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,person,0.192
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,person,0.155
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.179,9,dining table,0.103
yolov8n-seg.pt,Segmentation,Nano,04a0124350.jpg,0.19,2,pizza,0.631
yolov8n-seg.pt,Segmentation,Nano,04a0124350.jpg,0.19,2,dining table,0.157
yolov8n-seg.pt,Segmentation,Nano,04a012bd85.jpg,0.183,3,vase,0.499
yolov8n-seg.pt,Segmentation,Nano,04a012bd85.jpg,0.183,3,bowl,0.273
yolov8n-seg.pt,Segmentation,Nano,04a012bd85.jpg,0.183,3,cup,0.172
yolov8n-seg.pt,Segmentation,Nano,04a016c442.jpg,0.182,2,dining table,0.217
yolov8n-seg.pt,Segmentation,Nano,04a016c442.jpg,0.182,2,sandwich,0.179
yolov8n-seg.pt,Segmentation,Nano,04a0176097.jpg,0.167,1,fire hydrant,0.422
yolov8n-seg.pt,Segmentation,Nano,04a01b3fba.jpg,0.145,3,sandwich,0.242
yolov8n-seg.pt,Segmentation,Nano,04a01b3fba.jpg,0.145,3,pizza,0.118
yolov8n-seg.pt,Segmentation,Nano,04a01b3fba.jpg,0.145,3,hot dog,0.105
yolov8n-seg.pt,Segmentation,Nano,04a01cb51b.jpg,0.149,4,bowl,0.92
yolov8n-seg.pt,Segmentation,Nano,04a01cb51b.jpg,0.149,4,vase,0.624
yolov8n-seg.pt,Segmentation,Nano,04a01cb51b.jpg,0.149,4,dining table,0.563
yolov8n-seg.pt,Segmentation,Nano,04a01cb51b.jpg,0.149,4,apple,0.227
yolov8n-seg.pt,Segmentation,Nano,04a01efe21.jpg,0.225,3,cake,0.135
yolov8n-seg.pt,Segmentation,Nano,04a01efe21.jpg,0.225,3,pizza,0.126
yolov8n-seg.pt,Segmentation,Nano,04a01efe21.jpg,0.225,3,carrot,0.108
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,wine glass,0.804
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,dining table,0.528
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,spoon,0.438
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,spoon,0.228
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,banana,0.18
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,apple,0.152
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,apple,0.147
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,donut,0.122
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,carrot,0.119
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.202,10,banana,0.114
yolov8n-seg.pt,Segmentation,Nano,04a020c105.jpg,0.15,3,teddy bear,0.645
yolov8n-seg.pt,Segmentation,Nano,04a020c105.jpg,0.15,3,teddy bear,0.282
yolov8n-seg.pt,Segmentation,Nano,04a020c105.jpg,0.15,3,teddy bear,0.228
yolov8n-seg.pt,Segmentation,Nano,04a0229f40.jpg,0.174,3,pizza,0.731
yolov8n-seg.pt,Segmentation,Nano,04a0229f40.jpg,0.174,3,dining table,0.153
yolov8n-seg.pt,Segmentation,Nano,04a0229f40.jpg,0.174,3,pizza,0.107
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,bowl,0.876
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,spoon,0.804
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,cake,0.444
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,dining table,0.325
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,bowl,0.246
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,spoon,0.213
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,bowl,0.145
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,apple,0.129
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.184,9,apple,0.113
yolov8n-seg.pt,Segmentation,Nano,04a023a640.jpg,0.213,7,donut,0.75
yolov8n-seg.pt,Segmentation,Nano,04a023a640.jpg,0.213,7,donut,0.66
yolov8n-seg.pt,Segmentation,Nano,04a023a640.jpg,0.213,7,cup,0.484
yolov8n-seg.pt,Segmentation,Nano,04a023a640.jpg,0.213,7,bottle,0.481
yolov8n-seg.pt,Segmentation,Nano,04a023a640.jpg,0.213,7,dining table,0.342
yolov8n-seg.pt,Segmentation,Nano,04a023a640.jpg,0.213,7,donut,0.327
yolov8n-seg.pt,Segmentation,Nano,04a023a640.jpg,0.213,7,dining table,0.123
yolov8n-seg.pt,Segmentation,Nano,04a0261044.jpg,0.178,4,dining table,0.697
yolov8n-seg.pt,Segmentation,Nano,04a0261044.jpg,0.178,4,spoon,0.68
yolov8n-seg.pt,Segmentation,Nano,04a0261044.jpg,0.178,4,cup,0.581
yolov8n-seg.pt,Segmentation,Nano,04a0261044.jpg,0.178,4,cup,0.541
yolov8n-seg.pt,Segmentation,Nano,04a02618af.jpg,0.186,6,pizza,0.789
yolov8n-seg.pt,Segmentation,Nano,04a02618af.jpg,0.186,6,broccoli,0.3
yolov8n-seg.pt,Segmentation,Nano,04a02618af.jpg,0.186,6,bowl,0.187
yolov8n-seg.pt,Segmentation,Nano,04a02618af.jpg,0.186,6,dining table,0.169
yolov8n-seg.pt,Segmentation,Nano,04a02618af.jpg,0.186,6,spoon,0.151
yolov8n-seg.pt,Segmentation,Nano,04a02618af.jpg,0.186,6,broccoli,0.138
yolov8n-seg.pt,Segmentation,Nano,04a02772bf.jpg,0.175,3,teddy bear,0.374
yolov8n-seg.pt,Segmentation,Nano,04a02772bf.jpg,0.175,3,sandwich,0.148
yolov8n-seg.pt,Segmentation,Nano,04a02772bf.jpg,0.175,3,cake,0.103
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.364
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.314
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,bowl,0.31
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,bowl,0.303
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.243
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.233
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,oven,0.205
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.166
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,dining table,0.16
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.132
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.12
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.115
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.115
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.112
yolov8n-seg.pt,Segmentation,Nano,04a02d0222.jpg,0.163,15,broccoli,0.102
yolov8n-seg.pt,Segmentation,Nano,04a02e0f5b.jpg,0.19,3,cake,0.926
yolov8n-seg.pt,Segmentation,Nano,04a02e0f5b.jpg,0.19,3,fork,0.151
yolov8n-seg.pt,Segmentation,Nano,04a02e0f5b.jpg,0.19,3,dining table,0.113
yolov8n-seg.pt,Segmentation,Nano,04a02f1dd0.jpg,0.146,6,knife,0.863
yolov8n-seg.pt,Segmentation,Nano,04a02f1dd0.jpg,0.146,6,cake,0.639
yolov8n-seg.pt,Segmentation,Nano,04a02f1dd0.jpg,0.146,6,cake,0.24
yolov8n-seg.pt,Segmentation,Nano,04a02f1dd0.jpg,0.146,6,cake,0.124
yolov8n-seg.pt,Segmentation,Nano,04a02f1dd0.jpg,0.146,6,cake,0.103
yolov8n-seg.pt,Segmentation,Nano,04a02f1dd0.jpg,0.146,6,cake,0.102
yolov8n-seg.pt,Segmentation,Nano,04a02fd7b5.jpg,0.156,7,bowl,0.932
yolov8n-seg.pt,Segmentation,Nano,04a02fd7b5.jpg,0.156,7,bowl,0.757
yolov8n-seg.pt,Segmentation,Nano,04a02fd7b5.jpg,0.156,7,spoon,0.708
yolov8n-seg.pt,Segmentation,Nano,04a02fd7b5.jpg,0.156,7,spoon,0.539
yolov8n-seg.pt,Segmentation,Nano,04a02fd7b5.jpg,0.156,7,fork,0.428
yolov8n-seg.pt,Segmentation,Nano,04a02fd7b5.jpg,0.156,7,dining table,0.408
yolov8n-seg.pt,Segmentation,Nano,04a02fd7b5.jpg,0.156,7,dining table,0.216
yolov8n-seg.pt,Segmentation,Nano,04a0300a48.jpg,0.14,2,dining table,0.525
yolov8n-seg.pt,Segmentation,Nano,04a0300a48.jpg,0.14,2,broccoli,0.153
yolov8n-seg.pt,Segmentation,Nano,04a0311e93.jpg,0.172,5,banana,0.459
yolov8n-seg.pt,Segmentation,Nano,04a0311e93.jpg,0.172,5,cake,0.455
yolov8n-seg.pt,Segmentation,Nano,04a0311e93.jpg,0.172,5,fork,0.182
yolov8n-seg.pt,Segmentation,Nano,04a0311e93.jpg,0.172,5,dining table,0.126
yolov8n-seg.pt,Segmentation,Nano,04a0311e93.jpg,0.172,5,cake,0.121
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,dining table,0.638
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,orange,0.568
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,orange,0.495
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,sandwich,0.416
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,fork,0.392
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,pizza,0.387
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,cake,0.383
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,orange,0.378
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,cake,0.377
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,orange,0.316
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,orange,0.282
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,bowl,0.275
yolov8n-seg.pt,Segmentation,Nano,04a0323f9f.jpg,0.218,13,bowl,0.26
yolov8n-seg.pt,Segmentation,Nano,04a034f8a3.jpg,0.207,5,bottle,0.618
yolov8n-seg.pt,Segmentation,Nano,04a034f8a3.jpg,0.207,5,cake,0.22
yolov8n-seg.pt,Segmentation,Nano,04a034f8a3.jpg,0.207,5,sandwich,0.187
yolov8n-seg.pt,Segmentation,Nano,04a034f8a3.jpg,0.207,5,sandwich,0.142
yolov8n-seg.pt,Segmentation,Nano,04a034f8a3.jpg,0.207,5,cake,0.123
yolov8n-seg.pt,Segmentation,Nano,04a0356571.jpg,0.14,2,remote,0.296
yolov8n-seg.pt,Segmentation,Nano,04a0356571.jpg,0.14,2,bottle,0.118
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,cup,0.826
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.771
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.653
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.647
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.557
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,bowl,0.489
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.471
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.471
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,cake,0.466
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.437
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,bowl,0.401
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.312
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.286
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,dining table,0.285
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.272
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,cake,0.218
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.211
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.21
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.203
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.203
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.189
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.183
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.135
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,bowl,0.13
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,pizza,0.129
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,spoon,0.123
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,carrot,0.113
yolov8n-seg.pt,Segmentation,Nano,04a035e9c9.jpg,0.145,28,apple,0.105
yolov8n-seg.pt,Segmentation,Nano,04a0364a6a.jpg,0.18,3,sandwich,0.835
yolov8n-seg.pt,Segmentation,Nano,04a0364a6a.jpg,0.18,3,broccoli,0.181
yolov8n-seg.pt,Segmentation,Nano,04a0364a6a.jpg,0.18,3,sandwich,0.121
yolov8n-seg.pt,Segmentation,Nano,04a038793c.jpg,0.173,6,bowl,0.539
yolov8n-seg.pt,Segmentation,Nano,04a038793c.jpg,0.173,6,banana,0.253
yolov8n-seg.pt,Segmentation,Nano,04a038793c.jpg,0.173,6,toothbrush,0.198
yolov8n-seg.pt,Segmentation,Nano,04a038793c.jpg,0.173,6,dining table,0.179
yolov8n-seg.pt,Segmentation,Nano,04a038793c.jpg,0.173,6,bowl,0.175
yolov8n-seg.pt,Segmentation,Nano,04a038793c.jpg,0.173,6,spoon,0.108
yolov8n-seg.pt,Segmentation,Nano,04a039a03c.jpg,0.137,1,cake,0.714
yolov8n-seg.pt,Segmentation,Nano,04a03bdd53.jpg,0.258,43,donut,0.349
yolov8n-seg.pt,Segmentation,Nano,04a03bdd53.jpg,0.258,43,donut,0.313
yolov8n-seg.pt,Segmentation,Nano,04a03bdd53.jpg,0.258,43,donut,0.313
yolov8n-seg.pt,Segmentation,Nano,04a03bdd53.jpg,0.258,43,donut,0.302
yolov8n-seg.pt,Segmentation,Nano,04a03bdd53.jpg,0.258,43,cake,0.293
