Image_Name,yolov8n-seg.pt_Detections,yolov8n-seg.pt_Time_Seconds,yolov8s-seg.pt_Detections,yolov8s-seg.pt_Time_Seconds,yolov8n.pt_Detections,yolov8n.pt_Time_Seconds,yolov8s.pt_Detections,yolov8s.pt_Time_Seconds,yolov8n-oiv7.pt_Detections,yolov8n-oiv7.pt_Time_Seconds
04a00c206b.jpg,13,2.634,9,0.328,13,0.138,11,0.285,3,0.137
04a00c2902.jpg,3,0.189,2,0.356,3,0.158,3,0.339,1,0.185
04a00d1a97.jpg,4,0.186,5,0.326,3,0.176,7,0.307,1,0.147
04a00da0d1.jpg,3,0.158,2,0.362,2,0.156,3,0.295,1,0.161
04a00f3a25.jpg,9,0.179,6,0.456,10,0.149,10,0.28,4,0.151
04a0124350.jpg,2,0.19,3,0.441,2,0.163,4,0.424,2,0.172
04a012bd85.jpg,3,0.183,1,0.316,1,0.133,1,0.324,1,0.136
04a016c442.jpg,2,0.182,0,0.406,4,0.169,2,0.41,1,0.182
04a0176097.jpg,1,0.167,2,0.382,2,0.124,3,0.366,3,0.138
04a01946b4.jpg,0,0.143,2,0.368,2,0.126,2,0.3,1,0.139
04a01b3fba.jpg,3,0.145,1,0.33,2,0.153,2,0.253,2,0.141
04a01cb51b.jpg,4,0.149,3,0.322,4,0.137,4,0.279,4,0.136
04a01efe21.jpg,3,0.225,9,0.366,4,0.136,5,0.302,1,0.157
04a01f1641.jpg,10,0.202,4,0.458,6,0.208,8,0.311,4,0.175
04a020c105.jpg,3,0.15,3,0.311,3,0.125,4,0.304,2,0.126
04a0229f40.jpg,3,0.174,2,0.409,3,0.14,4,0.318,4,0.157
04a022d69d.jpg,9,0.184,5,0.357,6,0.161,4,0.288,7,0.201
04a023a640.jpg,7,0.213,5,0.409,5,0.158,5,0.316,8,0.181
04a0261044.jpg,4,0.178,5,0.394,4,0.149,5,0.293,4,0.157
04a02618af.jpg,6,0.186,7,0.378,4,0.142,7,0.257,1,0.151
04a02772bf.jpg,3,0.175,0,0.414,1,0.171,2,0.289,1,0.176
04a02d0222.jpg,15,0.163,14,0.374,14,0.14,19,0.307,4,0.163
04a02e0f5b.jpg,3,0.19,3,0.377,2,0.125,2,0.327,1,0.148
04a02f1dd0.jpg,6,0.146,15,0.344,5,0.129,17,0.287,0,0.161
04a02fd7b5.jpg,7,0.156,7,0.263,7,0.13,7,0.231,3,0.134
04a0300a48.jpg,2,0.14,3,0.347,4,0.119,3,0.267,1,0.144
04a0311e93.jpg,5,0.172,2,0.32,4,0.124,3,0.26,2,0.162
04a0323f9f.jpg,13,0.218,13,0.317,14,0.117,14,0.27,10,0.146
04a034f8a3.jpg,5,0.207,6,0.32,6,0.138,8,0.259,3,0.156
04a0356571.jpg,2,0.14,4,0.289,4,0.118,3,0.281,4,0.144
04a035e9c9.jpg,28,0.145,21,0.286,23,0.104,24,0.261,8,0.131
04a0364a6a.jpg,3,0.18,2,0.461,2,0.147,2,0.312,3,0.204
04a03683ea.jpg,0,0.176,0,0.334,1,0.151,1,0.282,1,0.169
04a038793c.jpg,6,0.173,4,0.399,4,0.137,4,0.313,2,0.168
04a039a03c.jpg,1,0.137,1,0.315,1,0.12,1,0.263,1,0.148
04a03bdd53.jpg,43,0.258,25,0.476,63,0.161,13,0.335,37,0.213
04a03c4497.jpg,6,0.219,9,0.404,9,0.162,10,0.303,0,0.171
04a03d9286.jpg,4,0.14,4,0.301,4,0.125,5,0.26,2,0.142
04a03f9a56.jpg,4,0.145,5,0.379,4,0.129,5,0.282,3,0.148
04a048696d.jpg,13,0.152,12,0.359,10,0.116,9,0.26,3,0.142
04a048940d.jpg,3,0.16,6,0.316,2,0.119,5,0.282,1,0.157
04a048ca38.jpg,6,0.165,7,0.344,5,0.11,6,0.254,2,0.148
04a04ab0d1.jpg,3,0.14,3,0.33,4,0.117,3,0.25,3,0.147
04a04b15d8.jpg,5,0.139,9,0.325,5,0.117,4,0.267,6,0.16
04a04ed826.jpg,4,0.161,4,0.422,3,0.307,4,0.314,2,0.189
04a04f3809.jpg,6,0.208,3,0.425,5,0.149,3,0.314,2,0.175
04a050229d.jpg,22,0.194,20,0.386,31,0.161,23,0.333,4,0.192
04a056ab65.jpg,12,0.201,7,0.379,11,0.133,13,0.278,6,0.167
04a0584177.jpg,4,0.178,2,0.366,3,0.153,2,0.34,1,0.18
04a0597fc1.jpg,3,0.177,2,0.425,2,0.131,1,0.343,1,0.166
04a05b3a30.jpg,8,0.157,9,0.315,7,0.118,9,0.278,1,0.157
