Model,Model_Type,Model_Size,Image_Name,Processing_Time_Seconds,Total_Detections_In_Image,Detected_Object,Confidence
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,dining table,0.584
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,cup,0.582
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,cup,0.551
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,bowl,0.484
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,cake,0.41
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,cup,0.269
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,cup,0.25
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,bowl,0.25
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,donut,0.219
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,cup,0.213
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,cake,0.172
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,cup,0.161
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,2.969,13,sandwich,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.376,3,bowl,0.749
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.376,3,dining table,0.53
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.376,3,bowl,0.13
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.175,4,bottle,0.131
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.175,4,bottle,0.123
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.175,4,cup,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.175,4,cup,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.165,3,sandwich,0.641
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.165,3,dining table,0.419
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.165,3,dining table,0.122
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.177,9,bowl,0.835
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.177,9,bowl,0.822
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.177,9,person,0.78
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.177,9,person,0.723
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.177,9,bowl,0.406
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.177,9,dining table,0.379
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.177,9,person,0.192
