Image_Name,yolov8n-seg.pt_Detections,yolov8n-seg.pt_Time_Seconds,yolov8s-seg.pt_Detections,yolov8s-seg.pt_Time_Seconds,yolov8n.pt_Detections,yolov8n.pt_Time_Seconds,yolov8s.pt_Detections,yolov8s.pt_Time_Seconds,yolov8n-oiv7.pt_Detections,yolov8n-oiv7.pt_Time_Seconds
04a00c206b.jpg,13,2.969,9,0.317,13,0.124,11,0.294,3,0.196
04a00c2902.jpg,3,0.376,2,0.519,3,0.157,3,0.3,1,0.162
04a00d1a97.jpg,4,0.175,5,0.729,3,0.149,7,0.303,1,0.17
04a00da0d1.jpg,3,0.165,2,0.651,2,0.149,3,0.3,1,0.17
04a00f3a25.jpg,9,0.177,6,0.535,10,0.138,10,0.321,4,0.192
04a0124350.jpg,2,0.217,3,0.518,2,0.147,4,0.338,2,0.161
04a012bd85.jpg,3,0.166,1,0.558,1,0.134,1,0.279,1,0.147
04a016c442.jpg,2,0.192,0,0.565,4,0.175,2,0.316,1,0.195
04a0176097.jpg,1,0.132,2,0.467,2,0.134,3,0.293,3,0.145
04a01946b4.jpg,0,0.139,2,0.435,2,0.127,2,0.287,1,0.183
04a01b3fba.jpg,3,0.144,1,0.431,2,0.116,2,0.331,2,0.128
04a01cb51b.jpg,4,0.155,3,0.381,4,0.132,4,0.313,4,0.159
04a01efe21.jpg,3,0.153,9,0.399,4,0.143,5,0.292,1,0.164
04a01f1641.jpg,10,0.164,4,0.383,6,0.145,8,0.353,4,0.185
04a020c105.jpg,3,0.14,3,0.306,3,0.103,4,0.248,2,0.163
04a0229f40.jpg,3,0.174,2,0.55,3,0.129,4,0.343,4,0.187
04a022d69d.jpg,9,0.174,5,0.429,6,0.161,4,0.304,7,0.214
04a023a640.jpg,7,0.172,5,0.443,5,0.153,5,0.327,8,0.231
04a0261044.jpg,4,0.215,5,0.381,4,0.148,5,0.359,4,0.152
04a02618af.jpg,6,0.188,7,0.321,4,0.133,7,0.3,1,0.168
04a02772bf.jpg,3,0.169,0,0.444,1,0.135,2,0.367,1,0.197
04a02d0222.jpg,15,0.162,14,0.399,14,0.126,19,0.316,4,0.158
04a02e0f5b.jpg,3,0.139,3,0.401,2,0.126,2,0.296,1,0.188
04a02f1dd0.jpg,6,0.199,15,0.414,5,0.128,17,0.28,0,0.157
04a02fd7b5.jpg,7,0.154,7,0.294,7,0.119,7,0.303,3,0.137
04a0300a48.jpg,2,0.155,3,0.44,4,0.117,3,0.288,1,0.156
04a0311e93.jpg,5,0.186,2,0.542,4,0.123,3,0.304,2,0.139
04a0323f9f.jpg,13,0.155,13,0.556,14,0.129,14,0.331,10,0.155
04a034f8a3.jpg,5,0.184,6,0.417,6,0.133,8,0.392,3,0.159
04a0356571.jpg,2,0.143,4,0.379,4,0.119,3,0.311,4,0.146
04a035e9c9.jpg,28,0.201,21,0.43,23,0.107,24,0.247,8,0.127
04a0364a6a.jpg,3,0.201,2,0.397,2,0.147,2,0.327,3,0.243
04a03683ea.jpg,0,0.193,0,0.349,1,0.148,1,0.299,1,0.181
04a038793c.jpg,6,0.187,4,0.381,4,0.15,4,0.303,2,0.17
04a039a03c.jpg,1,0.179,1,0.311,1,0.14,1,0.309,1,0.133
04a03bdd53.jpg,43,0.361,25,0.594,63,0.171,13,0.368,37,0.271
04a03c4497.jpg,6,0.192,9,0.361,9,0.144,10,0.3,0,0.2
04a03d9286.jpg,4,0.171,4,0.318,4,0.141,5,0.322,2,0.179
04a03f9a56.jpg,4,0.171,5,0.43,4,0.13,5,0.348,3,0.146
04a048696d.jpg,13,0.247,12,0.44,10,0.226,9,0.317,3,0.202
04a048940d.jpg,3,0.14,6,0.441,2,0.109,5,0.271,1,0.145
04a048ca38.jpg,6,0.163,7,0.393,5,0.129,6,0.298,2,0.144
04a04ab0d1.jpg,3,0.395,3,0.398,4,0.143,3,0.255,3,0.166
04a04b15d8.jpg,5,0.329,9,0.383,5,0.119,4,0.328,6,0.139
04a04ed826.jpg,4,0.339,4,0.489,3,0.148,4,0.311,2,0.17
04a04f3809.jpg,6,0.23,3,0.841,5,0.144,3,0.341,2,0.18
04a050229d.jpg,22,0.328,20,0.42,31,0.166,23,0.339,4,0.2
04a056ab65.jpg,12,0.254,7,0.552,11,0.151,13,0.292,6,0.156
04a0584177.jpg,4,0.214,2,0.372,3,0.175,2,0.323,1,0.204
04a0597fc1.jpg,3,0.174,2,0.49,2,0.138,1,0.326,1,0.203
04a05b3a30.jpg,8,0.309,9,0.548,7,0.12,9,0.336,1,0.213
04a05be781.jpg,8,0.292,10,0.573,10,0.14,10,0.315,2,0.205
04a05d0659.jpg,7,0.253,7,0.542,9,0.129,5,0.289,5,0.206
04a05ea946.jpg,8,0.209,6,0.519,7,0.144,6,0.278,2,0.169
04a05f469a.jpg,3,0.283,2,0.549,3,0.133,2,0.271,2,0.172
04a05f6166.jpg,6,0.219,5,0.466,5,0.114,5,0.317,3,0.16
04a062776a.jpg,8,0.335,2,0.367,5,0.223,4,0.28,3,0.212
04a062ddba.jpg,5,0.356,7,0.391,6,0.134,6,0.279,5,0.198
04a06321df.jpg,7,0.264,3,0.543,3,0.122,2,0.273,7,0.158
04a063e978.jpg,3,0.262,6,0.6,6,0.143,5,0.338,1,0.177
04a0644805.jpg,4,0.382,3,0.596,4,0.144,3,0.319,1,0.228
04a067586e.jpg,6,0.286,6,0.432,11,0.125,8,0.318,2,0.173
04a0693612.jpg,17,0.297,22,0.555,26,0.145,18,0.311,6,0.138
04a0694ad2.jpg,10,0.201,7,0.432,6,0.136,6,0.294,2,0.145
04a06aa5a7.jpg,6,0.279,6,0.353,4,0.113,6,0.271,3,0.144
04a06f20ba.jpg,18,0.356,9,0.471,11,0.134,13,0.326,2,0.172
04a071d5a8.jpg,4,0.369,6,0.397,3,0.142,2,0.289,3,0.155
04a0744015.jpg,5,0.255,11,0.428,6,0.133,7,0.263,2,0.124
04a074fd29.jpg,6,0.28,1,0.622,3,0.171,1,0.341,1,0.215
04a07543fd.jpg,2,0.247,1,0.578,2,0.168,2,0.288,2,0.164
04a0774980.jpg,9,0.154,11,0.535,6,0.12,10,0.256,2,0.133
04a07842d6.jpg,3,0.21,3,0.529,2,0.179,3,0.315,1,0.13
04a07a40dd.jpg,4,0.238,6,0.61,5,0.183,1,0.297,1,0.28
04a07d4cc0.jpg,12,0.163,9,0.605,11,0.18,10,0.242,6,0.15
04a07e1517.jpg,7,0.163,9,0.535,5,0.111,7,0.333,3,0.142
04a07f5670.jpg,1,0.157,2,0.472,2,0.118,1,0.326,1,0.131
04a080a5bf.jpg,3,0.165,7,0.424,6,0.218,5,0.309,4,0.171
04a08342a4.jpg,3,0.153,2,0.7,1,0.128,1,0.269,0,0.141
04a084ed5d.jpg,8,0.191,13,0.633,12,0.15,16,0.354,2,0.167
04a0854972.jpg,4,0.204,6,0.609,7,0.232,4,0.34,1,0.186
04a0868cda.jpg,6,0.154,18,0.627,5,0.179,13,0.364,2,0.165
04a086f0cf.jpg,4,0.16,5,0.512,3,0.162,4,0.272,1,0.205
04a08be097.jpg,8,0.19,11,0.515,7,0.139,7,0.324,5,0.176
04a08f1839.jpg,5,0.171,5,0.521,6,0.187,4,0.339,1,0.18
04a09161d0.jpg,16,0.139,9,0.533,19,0.192,15,0.273,6,0.131
04a09176a8.jpg,9,0.152,3,0.375,5,0.138,3,0.283,4,0.17
04a091ea20.jpg,11,0.165,11,0.449,12,0.185,12,0.286,4,0.172
04a091f1c5.jpg,4,0.15,2,0.581,4,0.118,5,0.277,2,0.156
04a0935679.jpg,6,0.136,5,0.348,6,0.128,6,0.277,8,0.139
04a09445dd.jpg,2,0.151,3,0.446,3,0.154,2,0.365,3,0.164
04a094ec93.jpg,1,0.178,4,0.528,2,0.188,1,0.338,3,0.177
04a094ecb1.jpg,3,0.158,1,0.481,2,0.131,2,0.323,3,0.164
04a094f4fe.jpg,9,0.141,5,0.339,7,0.116,8,0.253,4,0.128
04a096cfbd.jpg,9,0.133,14,0.477,10,0.128,9,0.322,4,0.133
04a09c5736.jpg,10,0.142,5,0.514,9,0.217,8,0.26,5,0.136
04a09e34d3.jpg,2,0.149,2,0.491,2,0.129,1,0.275,1,0.15
04a09eb15c.jpg,3,0.166,4,0.591,2,0.119,3,0.308,1,0.142
04a09ff1fd.jpg,4,0.163,5,0.361,5,0.125,6,0.305,2,0.135
04a0a1292c.jpg,6,0.414,12,0.79,8,0.398,6,0.541,5,0.433
04a0a16018.jpg,8,0.212,10,0.507,12,0.202,7,0.297,10,0.183
04a0a20def.jpg,3,0.157,2,0.397,3,0.135,2,0.33,1,0.136
04a0a5f475.jpg,4,0.131,5,0.478,3,0.126,6,0.283,1,0.12
04a0a69a47.jpg,5,0.178,5,0.593,5,0.138,4,0.341,5,0.146
04a0a70cb6.jpg,5,0.189,10,0.743,6,0.147,7,0.331,3,0.164
