epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.796,1.50923,1.8978,1.92449,0.28227,0.19672,0.15665,0.04307,2.68129,2.68304,5.36999,0.082,0.002,0.002
2,120.758,1.43969,1.44572,1.75867,0.00858,0.21311,0.00566,0.00109,4.13559,47.5024,14.8377,0.0630459,0.00404588,0.00404588
3,179.207,1.35392,1.33338,1.71916,0.0677,0.78689,0.06931,0.02212,2.58842,230.046,46.5022,0.0440363,0.00603632,0.00603632
4,239.202,1.35092,1.14679,1.69626,0.19274,0.54098,0.25513,0.0766,2.60855,9.44282,9.10345,0.0249713,0.00797132,0.00797132
5,298.797,1.36569,1.29968,1.72245,0.19187,0.18033,0.08134,0.03635,2.8626,4.20843,6.70902,0.009472,0.009472,0.009472
6,358.968,1.25729,1.17063,1.63909,0.05012,0.34426,0.03884,0.01447,2.4481,6.33027,4.0674,0.00934,0.00934,0.00934
7,418.314,1.28565,1.14874,1.66722,0.16728,0.4918,0.15653,0.06569,1.90998,4.62497,2.82694,0.009208,0.009208,0.009208
8,477.592,1.24876,1.07638,1.65501,0.14311,0.52459,0.12823,0.0477,2.40232,4.17532,3.55521,0.009076,0.009076,0.009076
9,536.441,1.22585,1.08395,1.61881,0.38125,0.60656,0.42391,0.13394,2.11645,2.76701,3.32253,0.008944,0.008944,0.008944
10,595.328,1.21806,1.06357,1.61738,0.10786,0.16393,0.04865,0.01721,2.88902,6.61331,4.09556,0.008812,0.008812,0.008812
11,656.972,1.1899,1.06838,1.59186,0.46567,0.44262,0.37794,0.15641,1.96493,3.02387,2.70812,0.00868,0.00868,0.00868
12,724.826,1.13403,1.00002,1.49849,0.41262,0.74858,0.41031,0.15713,1.77094,2.6576,2.38027,0.008548,0.008548,0.008548
13,796.349,1.11156,0.97543,1.49457,0.45721,0.6076,0.39337,0.20431,1.30641,1.90767,1.92165,0.008416,0.008416,0.008416
14,861.595,1.12434,0.96428,1.5275,0.93505,0.94411,0.93228,0.7022,0.84407,0.82652,1.43863,0.008284,0.008284,0.008284
15,925.13,1.08123,0.88943,1.48229,0.84764,0.86885,0.8885,0.65278,0.94323,1.24692,1.52214,0.008152,0.008152,0.008152
16,988.431,1.01808,0.84858,1.45764,0.77889,0.90164,0.91909,0.69089,0.88513,1.26489,1.41901,0.00802,0.00802,0.00802
17,1050.98,0.98697,0.80492,1.4156,0.91799,0.93443,0.94284,0.68846,0.86014,1.15244,1.4665,0.007888,0.007888,0.007888
18,1113.75,1.02859,0.84707,1.41526,0.81464,0.86463,0.87705,0.63034,0.98756,1.24231,1.61253,0.007756,0.007756,0.007756
19,1181.2,1.00685,0.86477,1.43199,0.95208,0.9772,0.98289,0.73059,0.86687,0.92797,1.40282,0.007624,0.007624,0.007624
20,1249.35,0.94568,0.78975,1.36467,0.99531,1,0.995,0.78155,0.91335,0.76793,1.54497,0.007492,0.007492,0.007492
21,1317.08,0.97433,0.76565,1.3648,0.97387,0.93443,0.98583,0.74107,1.11656,0.94701,1.61368,0.00736,0.00736,0.00736
22,1381.75,0.93395,0.80344,1.34822,0.97671,0.98361,0.98363,0.83309,0.73591,0.67826,1.21234,0.007228,0.007228,0.007228
23,1445.96,1.00722,0.77005,1.46989,0.95293,0.99561,0.99293,0.85602,0.63911,0.56297,1.10405,0.007096,0.007096,0.007096
24,1514.01,0.95514,0.76979,1.37565,0.97895,1,0.99452,0.82669,0.72493,0.57457,1.15476,0.006964,0.006964,0.006964
25,1579.83,0.93073,0.74931,1.32659,0.96764,0.98031,0.9904,0.80815,0.78516,0.6534,1.24462,0.006832,0.006832,0.006832
26,1644.79,0.93485,0.74811,1.33628,0.94676,0.95082,0.9828,0.79124,0.77653,0.63821,1.27696,0.0067,0.0067,0.0067
27,1711.61,0.96,0.73636,1.38193,0.96116,0.95082,0.98676,0.82773,0.66469,0.59856,1.20789,0.006568,0.006568,0.006568
28,1779.62,0.95014,0.74199,1.36842,0.96711,1,0.99405,0.83908,0.6941,0.50809,1.17234,0.006436,0.006436,0.006436
29,1844.35,0.88674,0.68968,1.34273,0.97897,0.98361,0.99156,0.77015,0.85134,0.61694,1.2749,0.006304,0.006304,0.006304
30,1908.1,0.88537,0.67111,1.32637,0.98892,0.96721,0.98229,0.78662,0.81171,0.58642,1.24141,0.006172,0.006172,0.006172
31,1970.31,0.88796,0.69365,1.35316,1,0.98145,0.99397,0.85924,0.60563,0.52229,1.10419,0.00604,0.00604,0.00604
32,2033.62,0.9065,0.67208,1.33635,0.99267,0.98361,0.9941,0.88853,0.52492,0.50398,1.01614,0.005908,0.005908,0.005908
33,2097.54,0.86387,0.63358,1.31,0.98144,0.96721,0.99299,0.86841,0.54088,0.51196,1.01899,0.005776,0.005776,0.005776
