epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3927,1.58844,2.10009,2.02831,0.01559,0.91803,0.20767,0.08048,1.6898,2.88983,2.85983,0.0677857,0.000325397,0.000325397
2,111.142,1.63599,1.88134,2.03801,0.60912,0.58759,0.59379,0.23926,1.99618,2.81435,3.22284,0.0347596,0.000632644,0.000632644
3,167.248,1.58672,1.74479,1.99163,0.67818,0.67213,0.62687,0.3085,1.54017,1.95383,2.3829,0.00170714,0.000913492,0.000913492
4,223.48,1.56639,1.76758,1.96704,0.67091,0.73531,0.7394,0.30015,2.037,2.4169,3.25556,0.0008812,0.0008812,0.0008812
5,279.909,1.60253,1.81379,1.9894,0.59277,0.71592,0.68431,0.2621,1.86889,2.00011,2.85931,0.0008416,0.0008416,0.0008416
6,336.083,1.52119,1.7344,1.95565,0.91476,0.70375,0.84519,0.43638,1.50593,1.84771,2.29554,0.000802,0.000802,0.000802
7,391.704,1.62845,1.72276,1.99764,0.88657,0.81967,0.84271,0.40892,1.69156,1.69713,2.47093,0.0007624,0.0007624,0.0007624
8,447.675,1.56172,1.6732,1.97891,0.80982,0.7377,0.75882,0.36191,1.78636,1.72601,2.62205,0.0007228,0.0007228,0.0007228
9,503.361,1.60066,1.70749,1.96652,0.87747,0.82178,0.87151,0.47392,1.52096,1.66397,2.24447,0.0006832,0.0006832,0.0006832
10,560.104,1.53968,1.60875,1.95975,0.8828,0.88525,0.87924,0.50127,1.45864,1.56959,2.14415,0.0006436,0.0006436,0.0006436
11,617.472,1.52892,1.67166,1.93747,0.87795,0.85246,0.87446,0.48992,1.50242,1.35507,2.18092,0.000604,0.000604,0.000604
12,674.624,1.47421,1.56794,1.91394,0.87906,0.86885,0.89149,0.51227,1.47244,1.27439,2.12777,0.0005644,0.0005644,0.0005644
13,731.924,1.49837,1.63932,1.92408,0.89767,0.81967,0.88214,0.44873,1.55987,1.3311,2.26206,0.0005248,0.0005248,0.0005248
14,789.118,1.44365,1.57545,1.87249,0.92286,0.86885,0.88331,0.4666,1.54496,1.2755,2.29263,0.0004852,0.0004852,0.0004852
15,846.61,1.48853,1.48918,1.89509,0.91214,0.851,0.88497,0.53593,1.36245,1.2565,1.99308,0.0004456,0.0004456,0.0004456
16,902.794,1.37642,2.19233,2.06152,0.90942,0.77049,0.85833,0.54026,1.3207,1.32731,1.91513,0.000406,0.000406,0.000406
17,958.098,1.27715,1.78992,1.97967,0.92981,0.83607,0.84949,0.50588,1.38333,1.51255,2.00561,0.0003664,0.0003664,0.0003664
18,1014.32,1.27628,1.66472,1.99275,0.90896,0.81967,0.87548,0.52314,1.37501,1.50319,1.99021,0.0003268,0.0003268,0.0003268
19,1068.27,1.20656,1.57979,1.93702,0.94999,0.81967,0.87911,0.53331,1.32917,1.48993,1.91429,0.0002872,0.0002872,0.0002872
20,1122.62,1.18311,1.57348,1.87936,0.90868,0.81564,0.86549,0.50948,1.41543,1.43004,1.98655,0.0002476,0.0002476,0.0002476
21,1176.4,1.24322,1.5122,1.94949,0.87244,0.80328,0.85649,0.46882,1.52922,1.41685,2.11266,0.000208,0.000208,0.000208
22,1230.69,1.22812,1.49961,1.93023,0.87262,0.80328,0.87235,0.50163,1.4512,1.37408,2.0205,0.0001684,0.0001684,0.0001684
23,1283.85,1.17006,1.4329,1.80946,0.90859,0.81476,0.89266,0.55998,1.2941,1.35968,1.85433,0.0001288,0.0001288,0.0001288
24,1340.34,1.08523,1.423,1.81115,0.89215,0.81374,0.89369,0.56983,1.24104,1.33574,1.79318,8.92e-05,8.92e-05,8.92e-05
25,1395.63,1.16483,1.42313,1.85267,0.91348,0.80328,0.89423,0.56908,1.24921,1.32952,1.79488,4.96e-05,4.96e-05,4.96e-05
